,Hotels,Prices,Descriptions,Full_Descriptions
181,Mayerling Schumann Barcelona,"€ 1,813",1 double bed,"Set in an elegant, neo-classical building, these simple, stylish apartments are just 500 metres from Barcelona's central Plaça Catalunya Square. They offer free Wi-Fi access.

The spacious Mayerling Schumann Barcelona are situated 50 metres from Urquinaona Metro Station. The UNESCO-listed Palau de La Musica Catalana Concert Hall is a 5-minute walk away. Las Ramblas and Barcelona Cathedral are also within 600 metres.

Full of natural light, each Mayerling Schumann Barcelona apartment comes with minimalist decor and wooden floors. All apartments include a kitchenette and basic cooking utensils. Bed linen and towels are also provided. Please note that apartments are accessed  by a flight of stairs.

The reception is located at Ronda of  Sant Pere 22 in the Hostal Mayerling Center."
182,Apartments Sixtyfour,"€ 3,195","2 beds (1 sofa bed, 1 large double)","Apartments Sixtyfour are situated on Passeig de Gracia Boulevard, opposite the famous Gaudi building, Casa Batlló. These design apartments have air conditioning and a flat-screen TV.

Apartments Sixtyfour are a 10-minute walk from Plaza Catalunya Square and Las Ramblas. The apartments are next to Passeig de Gracia Station. This Metro and train station offers direct links to Barcelona Airport. The property offers information on other touristic options in the city.

Each apartment has wooden floors and elegant modern décor. Living areas come with a double sofa bed. The stylish kitchens include an oven, ceramic hob and dishwasher.

A continental breakfast is served in a cafeteria nearby.

Bed linen and towels are included in all apartments. Basic cleaning products and cooking items are also provided. Several supermarkets can be found within 800 metres of the apartments."
183,Suites Center Barcelona,"€ 2,366","2 beds (1 double, 1 sofa bed)","These stylish apartments are on Barcelona’s famous Passeig de Gràcia, in the heart of the Eixample. Each comes with free Wi-Fi, plasma-screen satellite TVs and a modern kitchen.

Suites Center Barcelona offers apartments with DVD and CD player, washing machine and a kettle. They feature full heating and air conditioning, soundproofing and a bathroom with shower.

Private parking is available at Suites Center Barcelona. There is also 24-hour reception.

The Suites are only 20 metres from the Modernist Casa Fuster, a short walk from the popular Gràcia neighbourhood. Diagonal Metro Station is 200 metres away and offers direct access to Plaça Catalunya and the Rambla."
184,Vincci Bit,"€ 2,109",Beds: 1 double or 2 singles,"Vincci Bit is located just 10 minutes walk from Mar Bella beach. Situated a 7-minute walk from El Maresme Forum Metro Station, it features a sauna, a gym and a rooftop swimming pool with city views.

The restaurant serves a buffet breakfast and à la carte meals, including gluten-free products. There is also a lounge, bar and room service available.

The air-conditioned rooms at Vincci Bit are bright and comfortable and feature a flat-screen TV, a pillow menu and a minibar. The private bathrooms include a shower, hairdryer and free toiletries. Free Wi-Fi is also available.

There are a number of bars, restaurants and shops within a few minutes walk from the hotel. Diagonal Mar Shopping Centre is just 300 metres away.

The International Convention Centre (CCIB) is a 9-minute walk from Vincci Bit. The historic centre of Barcelona can be reached in just 15-minutes by metro or tram."
185,Petit Palace Boqueria Garden,"€ 1,919",Beds: 1 double or 2 singles,"The Petit Palace Boqueria Garden is set in a historic 19th-century building by La Boqueria Market, 10 meters from Las Ramblas, and offers free high-speed WiFi and free bicycle use (subject to availability).

Each room at the Petit Palace Boqueria Garden includes a flat-screen TV and laptop safe, and a private bathroom. The hotel also offers an electric scooter hire service, subject to availability.

The hotel's bar is set by a private courtyard and garden with hundred-year-old trees, a listed site of architectural heritage in Barcelona.

Petit Palace Boqueria Garden is located in Barcelona's Gothic Quarter, just a 1-minute walk from Liceu Metro Station, offering convenient transport around the city. Plaça Catalunya Square is 800 meters away, and you can walk to Barcelona Port in 8 minutes."
186,Free Hostels Barcelona,"€ 1,275",2 single beds,"Offering free WiFi access, Free Hostels Barcelona is located in central Barcelona, 700 metres from Hospital Clinic Metro. Gaudi's La Pedrera Building is a 23-minute walk away.

Rooms here will provide you with memory foam mattresses, air conditioning, sockets, reading lights, lockers, and a safe. A shared bathroom with free toiletries is located inside the dormitory. Bed linen is included, and towels can be hired for a surcharge.

At Free Hostels Barcelona you will find a 24-hour front desk, a shared TV lounge and a shared kitchen. The property can provide a ticket service and a tour desk.

Camp Nou Stadium is a 30-minute walk from the property and La Rambla is a 25-minute metro ride away. Barceloneta Beach can be reached in 45 minutes on public transport."
187,Acta Atrium Palace,"€ 1,319",Beds: 1 double or 2 singles,"This elegant hotel is 250 metres from Paseo de Gracia Metro Station and Boulevard. Plaza Catalunya is a 5-minute walk away. It offers free Wi-Fi.

Set in an attractive building, dating from 1888, rooms at the Acta Atrium Palace are modern and chic, with air conditioning and satellite TV. The private bathrooms offer free toiletries and a bathrobe.

The hotel has 24-hour room service.

Gaudí's famous Casa Batlló and La Pedrera are 10 minutes' walk away. There is a 24-hour front desk, and you can hire a car at the hotel tour desk. Public parking is available nearby."
188,Oriente Atiram,"€ 1,205",2 single beds,"The Atiram Oriente is located on Las Ramblas, between the Liceu Theatre and the Columbus Monument. Set in a 19th-century building, this hotel features a restaurant, terrace and free Wi-Fi.

All rooms have satellite TV and an en suite bathroom with a hairdryer. Each has simple, contemporary décor with heating and air conditioning.

The hotel’s pretty restaurant serves buffet cuisine and a daily continental breakfast. There is a 24-hour reception and a tour desk. The Atiram Oriente Barcelona also has a café on the Ramblas, close to many shops and restaurants.

The famous Boquería Market and Gothic Quarter are just a few minutes’ walk from the Hotel Atiram Oriente. Barcelona’s Port Vell is less than 500 metres away and Liceu Metro Station is 1 minute walk from the hotel."
189,Hostal Benidorm,€ 971,2 single beds,"Situated on Barcelona’s famous Las Ramblas, Hostal Benidorm offers free Wi-Fi, 24-hour reception and air-conditioned rooms with satellite TV. Liceu Metro Station is just 200 metres away.

Each room at the Benidorm Hostal features simple décor and tiled floors. All rooms have central heating and a private bathroom.

Drinks and snacks are available from vending machines in the Benidorm’s reception area. Staff at the front desk can provide information about the city and arrange car or bicycle rental.

Hostal Benidorm is located just outside the historic Gothic Quarter. Gaudi’s Palau Güell is 100 metres away, while the Boqueria Market is within 400 metres. Barceloneta Beach can be reached in 25 minutes’ walk or a 10-minute bus."
190,Room Mate Anna,"€ 1,444",1 double bed,"Featuring a seasonal rooftop plunge pool with views and a solarium, Room Mate Anna is set in Barcelona City Centre. The hotel features cutting-edge and modern design as well as personalized service. The hotel serves a daily hot and cold buffet breakfast until midday.

Each stylish, air-conditioned room comes with free WiFi and a flat-screen TV. Some rooms have a seating area to relax in after a busy day as well as a balcony with views over Casa Batlló. Extras include a wide variety of free toiletries, a hairdryer and safe box.

Other facilities include a portable WiFi and meeting and conference rooms.

On the eigth floor of the hotel the bar Terraza de Anna by Vida Mona offers views over the city, cocktails and mediterranean tapas.
 The restaurant Vibra Speakeasy, inspired by the style of 1920, offers live music, food and cocktails from that time.

The Room Mate Anna is set in the heart of L'Eixample, just 100 metres from Casa Batlló. You will find a wide range of shops, restaurants, and cultural spots. Barcelona El Prat Airport is 13 km from the property."
191,Inside Barcelona Apartments Sants,"€ 1,097",2 single beds,"Inside Barcelona Apartments Sants offers modern, great-value accommodation. These apartments are conveniently located on a quiet street near Barcelona Sants station.

These stylish apartments have a full kitchen, a bathroom and comfortable living rooms. They all have free wired internet access.

Plaça Espanya and Montjuïc are just a short walk from the apartments. The famous Camp Nou football stadium is also nearby.

The Inside Barcelona Apartments Sants have excellent public transport links to travel around the city. The airport train stops at Sants station, just 400 metres away.

The apartments are 12 minutes' walk from Plaza Espanya and the Fira Exhibition Centre. Just beyond is Montjuïc Hill, where you can find the MNAC Modern Art Museum and Miró Foundation."
192,Pensión 45,€ 629,2 single beds,"This establishment is housed in a building of great artistic interest, built at the beginning of the 19th century.

The building is tranquil and comfortable and has conserved part of its original decoration. On offer here is simple accommodation combined with a warm and cosy atmosphere.

Pension 45 is perfectly positioned in the centre of the old town, with good connections to the public transport network, enabling you to move within and around the city. The Renfe train station is only metres away from the accommodation. This is the ideal place from which to see the heart of Barcelona and benefit to the maximum from its culture, shopping and nightlife. Nearby are also the MACBA, Las Ramblas, Plaça Catalunya and the central University building."
193,Catalonia La Maquinista,€ 864,Beds: 1 double or 2 singles,"Catalonia La Maquinista is ideally located next to the La Maquinista Shopping Centre in Barcelona’s Sant Andreu District. Plaza de Catalunya is just a 15-minute Metro journey away.

The Maquinista’s bright rooms have air conditioning and flat-screen smart TV equipped with Chromecast app. All rooms have a work desk and safe. Free Wi-Fi is available throughout the hotel.

The hotel restaurant serves a buffet breakfast and Mediterranean cuisine for lunch and dinner. The neighbouring Maquinista Shopping Centre has a selection of cinemas, a bowling alley, as well as cafés and bars.

Catalonia La Maquinista is 500 metres from Barcelona’s ring road, the B10 Ronda del Litoral, connecting guests to the beach in 10 minutes.

Sant Andreu Metro and Railway Station is just a 10-minute walk from Catalonia La Maquinista and has direct trains to Passeig de Gràcia and to El Prat Airport. Plaza Catalunya and Las Ramblas are 8 Metro stops away.

As with reservations of more than 4 rooms, special conditions and supplements will apply to those of more than 8 nights."
194,You Stylish Diagonal Apartments,"€ 1,921","2 beds (1 double, 1 sofa bed)","Set in a Modernist building on Barcelona’s Diagonal Avenue, You Stylish Diagonal Apartments is located just 120 metres from Francesc Macià Square. These modern apartments offer free Wi-Fi and a flat-screen TV.

The air-conditioned, soundproofed apartments feature stylish décor with design furniture and parquet floors. Each one has a lounge-diner with a sofa, and the kitchens include a hob, oven, microwave and coffee maker. The bathrooms come with a hairdryer.

A swimming pool and small gym are located nearby, and surcharges are applicable.

A cleaning or babysitting service, as well as breakfast and other catering, are available for an extra charge. There are many shops, bars and restaurants within a 5-minute walk of You Stylish Diagonal Apartments.

You can walk to the top of the prestigious Passeig de Gràcia Boulevard in 13 minutes from You Stylish Diagonal Apartments. Located 10 minutes’ walk away, Hospital Clinic Metro Station connects you with Sants Station in 2 stops and Barcelona FC’s Camp Nou Stadium in 4 stops."
195,Acevi Villarroel,"€ 1,056",Multiple bed types,"Acevi Villarroel offers free high-speed Wi-Fi, a spa and a rooftop pool, open in summer. Located 400 metres from Urgell Metro Station, it is a 15-minute walk from Barcelona’s Plaza Catalunya.

Rooms at the Acevi have elegant décor and hardwood floors. All have a satellite TV.

Hotel Acevi Villarroel’s spa is available for an extra charge. It includes a steam bath, sauna, Hammam and gym. Massages are available on request. You can also relax on a lounger on the sun terrace.

Acevi Villarroel is within a 10-minute walk of Barcelona University and the lively Raval district. Hospital Clinic Metro Station is 600 metres away, and offers direct access to the Sagrada Familia and FC Barcelona’s Camp Nou Stadium."
196,Inside Barcelona Apartments Esparteria,"€ 1,340",1 double bed,"These stylish apartments are located in Barcelona’s El Born district, 3 minutes' walk from the Picasso Museum. Each apartment offers free Wi-Fi and flat-screen satellite TV.

Inside Barcelona Apartments Esparteria are bright and air-conditioned. They all have a spacious seating area and a modern kitchenette with an oven, hob and fridge.

Inside Barcelona Apartments Esparteria has a communal terrace (open during office hours), where guests can enjoy views of nearby Santa María del Mar Church.

Staff at reception can help organise your trip to Barcelona. Bicycle rental and a ticket service are also available.

The Esparteria is within 100 metres of the popular Passeig del Born. Barceloneta Beach is a 15-minute walk away, and Ciutadella Park is 400 metres away. There are various restaurants, bars and supermarkets within a short walk."
197,Residencia Universitaria Campus del Mar,€ 986,2 single beds,"Residencia Campus del Mar has an excellent location in Barcelona's Barceloneta neighbourhood, 200 metres from the beach. It features a fitness centre and free internet in rooms and public areas.

Each room at Residencia Campus del Mar has a kitchen area with a microwave and tea/coffee facilities. Most also have a TV.

Guests can make use of the library area and games room with snooker and table tennis at the Residencia. Private parking, a laundrette and 24-hour reception are available on site. Bicycles are available to rent, upon prior request.

There is also a range of vending machines.

Ciutadella Park and the Paseo Marítimo are within a 2-minute walk of Residencia Campus del Mar. Barceloneta Metro Station is 250 metres away.

The residence is open to the university community, including students, professors, researchers and administrative staff all year round."
198,Eurohotel Diagonal Port,"€ 1,307",Beds: 1 double or 2 singles,"Just 350 metres from Mar Bella Beach, Eurohotel Diagonal Port offers Mediterranean Sea views from its setting in Barcelona’s Poble Nou district.

Rooms at this hotel are spacious and feature contemporary design. All come with air conditioning, satellite TV. Free wired internet access is also available.

Facilities at Eurohotel Diagonal Port include a continental breakfast.

Eurohotel Diagonal Port is located 7 minutes’ walk from Poblenou Metro Station, which is just 5 stops from central Barcelona. The hotel is just over 2 km from Ciutadella Park and the Forum venue is a 20-minute walk away.

The hotel offers easy access to the 22@ financial district, close to Barcelona International Convention Centre and shops. There is a Metro station and buses stop within 5 minutes' walk of the hotel."
199,Rambla 102,"€ 2,416","2 beds (1 extra-large double, 1 sofa bed)","Located just off Las Ramblas and La Boqueria Market, Rambla 102 offers soundproofed accommodation with free Wi-Fi. Central Plaza Catalunya, and Barcelona Cathedral are both 500 metres away.

Modern and bright apartments and lofts with air conditioning and balcony, some with views of the Ramblas. They have a living-dining area with a sofa bed and a flat-screen satellite TV; and come with an open-plan kitchen equipped with a dishwasher, ceramic hobs and kitchenware. There is a washing machine, a dryer, and bed linen and towels are provided.

There are plenty of bars and tapas restaurants within a 2-minute walk of Rambla 102.

Centrally located, you can walk to the main Barcelona tourist attractions within 15 minutes. A 20-minute metro ride will take you to Sagrada Familia."
200,Aparthotel Allada 3*,"€ 1,603",1 double bed,"Situated in a pedestrianised street in the neighbourhood of Borne, Aparthotel Allada 3* offers a tranquil atmosphere due to the scarcity of street noise and the sound-proofing of the building.

Aparthotel Allada 3* is situated in a picturesque, historical area that has maintained the façades and arches of the 17th century, whilst incorporating the modern architecture of the 21st century. The apartments and studios have been designed to offer the greatest comfort and functionality during your stay. All also benefit from ample natural light throughout the day.

The Borne district is full of winding streets that form a labyrinth, allowing you to find some of the most intriguing areas in the old city. Close to the apartments, you will find the church of Saint Mary, the city gardens, the Picasso museum, the chocolate museum, the Cathedral, the market of Saint Catherine as well as many other sites of interest. In addition, you enjoy free access to the Barcelona Egyptian Museum."
201,08028 Apartments,"€ 1,033",2 single beds,"08028 Apartments are situated next to Les Corts Metro Station and 5 minutes’ walk from Barcelona’s Camp Nou Football Stadium. The modern apartments share a rooftop pool with views of Barcelona.

Apartments and suites at the 08028 feature contemporary design and free Wi-Fi. Apartments include a balcony, lounge area and a fitted kitchen.

The Taberna Lizarran at the 08028 Apartments serves traditional Spanish cuisine, including tapas.

The 08028 Apartments are a 15-minute walk from Sants Train Station. Plaza Catalunya and the famous Las Ramblas can be reached in around 20 minutes, by Metro."
202,Sunotel Club Central,"€ 1,128",1 double bed,"Featuring an outdoor swimming pool and hot tub on its terrace, Sunotel Club Central is set in Barcelona’s elegant Eixample neighbourhood.

Each modern air-conditioned room has free, high-speed WiFi, a TV and a minibar. The private bathroom includes a bath, shower and hairdryer.

Sunotel Club Central features a cosy bar, serving snacks and drinks. There is also room service available. The hotel has a 24-hour reception, and free bicycles are available upon request and subject to availability.

Passeig de Gracia, with its Gaudi monuments and designer shops, is a 10-minute walk from Sunotel Club Central. The famous Las Ramblas Boulevard and Plaza Catalunya are a 15-minute walk from the hotel. Barcelona Airport is 15 km away, and you can catch an airport bus in Plaza Catalunya."
203,Fira Apartments by gaiarooms,"€ 1,884","2 beds (1 double, 1 sofa bed)","Located next to the Fira de Barcelona Exhibition Centre, these bright modern apartments offer free WiFi and a flat-screen TV. Plaza Espanya Square is just 50 metres away.

Each stylish Ding Dong Fira Apartment is decorated in light colours, with smart wooden floors. Apartments have a lounge with a sofa bed, and air conditioning and heating is available in the lounge only.

There is a well-equipped open-plan kitchenette with a washing machine, microwave, toaster, Nespresso coffee machine and utensils. Towels and bed linen are provided and there is a hairdryer.

A range of bars, restaurants and shops can be found within a 5-minute walk of the Fira Apartments by gaiarooms. The famous Magic Fountain and Las Arenas Shopping Centre are both within 100 metres.

Espanya Metro Station, 250 metres away, offers direct metro services within 10 minutes to Plaza Catalunya and Las Ramblas. Sants International Train Station is within a 500 metre walk of the apartments or can be reached by direct metro line. Buses to and from the airport, as well as city tour buses, stop 3 minutes' walk from the apartments."
204,Montserrat Apartments by gaiarooms,"€ 1,824","2 beds (1 sofa bed, 1 large double)","Offering city views, Montserrat Apartments by gaiarooms is an accommodation located in Barcelona, 1.6 km from La Pedrera and 2 km from Casa Batllo. The air-conditioned accommodation is 200 metres from Sagrada Familia. The apartment features family rooms.

Certain units in the apartment complex have private entrance and are equipped with desk and wardrobe. With a private bathroom, units at the apartment complex also offer free WiFi, while selected rooms are equipped with a terrace.

Passeig de Gracia is 2.4 km from the apartment, while Passeig de Gracia Metro Station is 2.5 km away. The nearest airport is Barcelona El Prat Airport, 15 km from Montserrat Apartments by gaiarooms."
205,Glocal Apartments Barcelona,"€ 2,226","3 beds (1 bunk bed, 2 large doubles)","Glocal Apartments Barcelona offers stylish modern apartments 280 metres from Diagonal Avenue and a 10-minute walk from Passeig de Gracia. Free Wi-Fi access is available.

Each bright, air-conditioned apartment at Glocal Apartments Barcelona comes with a living room with flat-screen TV, and a fully equipped kitchen with dishwasher. A washing machine, bed linen and towels are also included. The bathrooms have a shower.

There are numerous restaurants and bars in the area, as well as bus stops. The nearest metro station is Hospital Clinic, a 6-minute walk away.

The lovely Rambla de Catalunya Avenue, lined with trees and shops, is an 8-minute walk from the property. A 20-minute walk down the Rambla takes you all the way to Plaza Cataluña Square in central Barcelona."
206,Hostal Balkonis,€ 860,1 double bed,"Located in central Barcelona, Hostal Balkonis guest house offers a terrace, free Wi-Fi throughout. Sant Antoni Metro Station is just 80 metres away.

This property offers functional and modern rooms with a private bathroom with a hairdryer and free toiletries each. They all feature heating, air conditioning, flat-screen TV and a radio. Some have a balcony with garden and city views.

You can hire bicycles on site, allowing you to explore more of the city.

You will find bars and restaurants in the surrounding streets and the closest supermarket is just 30 metres away.

A 12-minute walk will take you to Barcelona’s La Rambla and Barceloneta Beach is 3 km away. Plaza de España, with direct buses to Barcelona Airport is 20 minutes’ walk from Hostal Balkonis."
207,Hostal Balmes Centro,€ 619,1 double bed,"Hostal Balmes Centro offers 24-hour reception with tourist information service, free WiFi and free luggage storage. It is located 5 minutes’ walk from Barcelona’s Paseo de Gracia Boulevard and from one of Gaudi's masterpieces, la Pedrera.

All rooms at Hostal Balmes Centro have a flat-screen TV, a wardrobe and a fridge. Rooms come with double or twin beds, and a private or shared bathroom with bath or shower. Free toiletries and a hairdryer are provided.

 You can find numerous restaurants and bars with traditional tapas in the surrounding area.

Car hire, bicycle rental and tours can be organized at Hostal Balmes Centro’s tour desk. Plaza Catalunya Square and Ramblas can be reached in 10 minutes’ walk and Casa Batlló House and Museum is 500 metres away.

Barcelona El Prat Airport is 17 minutes’ drive away. Regular airport trains leave from a train station located just 550 metres away."
208,Suite Place Barcelona Còrsega,"€ 1,882","3 beds (1 single, 1 double, 1 sofa bed)","Suite Place Barcelona Còrsega features air-conditioned guest accommodation in Barcelona, 500 metres from Sagrada Familia, 1.7 km from La Pedrera and 2.1 km from Casa Batllo. Among the facilities at this property are a 24-hour front desk and a lift, along with free WiFi throughout the property. Private parking can be arranged at an extra charge.

Some of the units feature a satellite flat-screen TV, a fully equipped kitchen with a dishwasher, and a private bathroom with a bath and a hair dryer. At the apartment complex, some units are allergy-free.

A minimarket is available at the apartment.

Sightseeing tours are available close by.

Passeig de Gracia is 2.5 km from the apartment, while Passeig de Gracia Metro Station is 2.6 km away. The nearest airport is Barcelona El Prat Airport, 15 km from Suite Place Barcelona Còrsega."
209,BCN Urbaness Hotels Del Comte,"€ 1,541",2 single beds,"Hotel Del Comte is 100 metres from Barcelona's Urgell Metro Station and 15 minutes walk from the Rambla and Plaza Espanya. It offers modern rooms with free Wi-Fi and a flat-screen TV with satellite channels.

The air-conditioned rooms at Del Comte feature parquet floors and smart design. Each one comes with a work desk and a private bathroom with a hairdryer.

Staff at the Del Comte Hotel’s 24-hour reception can provide information about what to see and do in Barcelona.

There is a bus stop just 3 minutes’ walk from the Del Comte which provides transport connections to Barcelona El Prat Airport. It is only 2 stops on the Metro to Plaza Catalunya, Barcelona’s main square."
210,Barcelona Apartment Gran de Gràcia,"€ 1,722","3 beds (1 double, 2 sofa beds)","Situated in the charming Gràcia district, these elegant design apartments offer a balcony and a stylish kitchen with a ceramic hob, dishwasher and washing machine. Fontana Metro Station is just 200 metres away.

The air-conditioned Gran de Gracia apartments feature sleek contemporary décor. Each one has a lounge with a flat-screen TV and 2 sofa beds. The modern bathrooms include a shower.

A variety of supermarkets, cafés and restaurants can be found within a 5-minute walk of the Gran de Gracia apartments. The surrounding streets are full of quirky boutiques and lively bars.

Gaudí’s Casa Vicenç is just 150 metres from the apartments, while Parc Güell is a 20-minute walk away. You can walk to Passeig de Gràcia Boulevard in around 15 minutes."
211,Alma Barcelona GL,"€ 3,783",Multiple bed types,"Alma Barcelona is set in an attractive building just off Barcelona’s Passeig de Gràcia. It offers a spa, a stylish restaurant with a terrace, and air-conditioned rooms with free Wi-Fi.

Alma Barcelona rooms feature smart, modern décor and leather armchairs. They are equipped with a flat-screen Loewe TV, Punkt phone, and the private bathrooms come with a bathrobe and slippers.

The Alma’s spa features an indoor pool, a Hammam and a sauna. There is a gym, and massage is also available.

Staff at the Alma’s 24-hour reception can provide information on Barcelona’s many attractions. On request, the hotel offers an airport shuttle service to Barcelona El Prat Airport, a 25-minute drive away.

The hotel is just one block from Gaudí’s La Pedrera and a 5-minute walk from Casa Batlló. You can walk to Diagonal Metro Station in 5 minutes, while Plaza de Catalunya is just over 1 km away."
212,Barcelona Apartment Villarroel,"€ 1,741","3 beds (2 singles, 1 sofa bed)","Located in Eixample District, close to Hospital Clínic metro station and only 15 minutes’ walk from Barcelona’s historic town, these modern décor apartments offer free Wi-Fi throughout.

Barcelona Apartment Villaroel features deluxe and executive 2-bedroom apartments. Each of them has a comfortable living-dining area with sofa and flat-screen TV, a private bathroom and well-equipped kitchen.

Numerous bars and restaurants as well as supermarkets can be found nearby. Barcelona main shopping district is just 10 minutes’ walk away.

You can reach Barcelona Sants AVE Train Station in less than 15 minutes' walk away or a short metro ride from Hospital Clínic metro station.

When booking more than 2 apartments, different policies and additional supplements may apply."
213,"Holiday Inn Express Barcelona City 22@, an IHG Hotel","€ 1,117",Beds: 1 double or 2 singles,"Holiday Inn Express Barcelona City 22@ is situated in the city’s 22@ District, 300 metres from Llacuna Metro Station. This hotel features rooms with satellite TV and a continental buffet breakfast included in all rates.

The Barcelona City offers simple, contemporary décor throughout. Rooms are spacious and air conditioned.Some amenities and high touch items such as kettles, pens, note pads, etc have been removed from guest rooms as per Covid-19 hygienic and security regulations. In any case, all of these items are still available upon request.

The hotel offer free WiFi access to the guests. There is also a computer and printer for their use.

The City 22@ is ideally situated for visiting many of Barcelona’s attractions and the beach is less than one kilometre away. Plaza de Catalunya and the famous Las Ramblas can be reached in less than 20 minutes, by Metro."
214,Centric Apartments Paseo de Gracia,"€ 2,403","3 beds (2 doubles, 1 sofa bed)","Centric Apartments Paseo de Gracia provides accommodation within less than 1 km of the centre of Barcelona, with free WiFi, and a kitchen with an oven, a microwave and a toaster. With quiet street views, this accommodation offers a balcony. In good weather, guests are welcome to sit outside.

Certain units in the apartment complex have private entrance and are equipped with desk and wardrobe. All units are air conditioned and include a seating and/or dining area. At the apartment complex, every unit includes a private bathroom and bed linen.

There is a snack bar and bar.

Popular points of interest near the apartment include Passeig de Gracia, Passeig de Gracia Metro Station and Casa Batllo. The nearest airport is Barcelona El Prat Airport, 14 km from Centric Apartments Paseo de Gracia."
215,Hostal Fernando,"€ 1,175",1 double bed,"Hostal Fernando is set in Barcelona’s Gothic Quarter, 100 metres from Las Ramblas and the historic Plaça Sant Jaume. It offers air-conditioned rooms and dormitories with free Wi-Fi.

The basic rooms at the Hostal Fernando come with a TV, safe and a private bathroom.

Fernando guest house has a simple restaurant and bar. There are many bars and restaurants within a short walk.

The guest house has a tour desk, and bicycle and car rental are offered. Barcelona Cathedral, the Picasso Museum and the famous Boquería Market are all within a 10-minute walk."
216,Mesón Castilla Atiram Hotels,"€ 1,120",1 double bed,"Mesón Castilla is set just 100 metres from Las Ramblas and Plaça Catalunya Square in central Barcelona. The hotel offers free Wi-Fi and an attractive garden terrace where guests can enjoy breakfast.

Rooms at the Mesón Castilla include ornate beds, and some have a private balcony. They come with air conditioning and a private bathroom with a hairdryer.

The hotel operates a 24-hour reception, allowing guests flexibility during their stay. The tour desk can organise excursions and car rental. There are safes available at the reception for an extra charge.

Barcelona’s Modern Art Museum is a 5-minute walk from the hotel. The historic Gothic Quarter, with its cathedral and many bars, can be reached in 10 minutes’ by foot."
217,Hilton Barcelona,"€ 2,375",1 extra-large double bed,"Featuring an impressive lobby, the stylish Hilton Barcelona offers free WiFi, access to its 24-hour gym and rooms with city views and plasma TV. The hotel is a 15-minute walk from FC Barcelona’s Camp Nou Stadium.

Each stylish, soundproofed room at the Barcelona Hilton features air conditioning, iPod docking stations and tea and coffee-making facilities.

Hotel Hilton Barcelona is just 100 metres from L’Illa Shopping Centre and 300 metres from María Cristina Metro Station. Plaça Catalunya and the historic city centre are 15 minutes away by Metro. You can drive to Sants Station in 5 minutes, and El Prat Airport is a 15-minute drive away.

Hilton Barcelona’s Mosaic restaurant offers Catalan and Mediterranean cuisine prepared using seasonal, local products. The Vibe Bar & Restaurant serves tapas and cocktails. Guests can enjoy live sport on the bar’s large TV."
218,Amister Apartments,"€ 2,192","2 beds (1 extra-large double, 1 sofa bed)","Located in the heart of Barcelona, 300 metres from Plaça Catalunya, Amister Apartments offers 1-bedroom apartments with free WiFi.

Each apartment at Amister has a fully-equipped kitchen, completed with an oven and a dishwasher, opening onto a living-dining room with a sofa and a flat-screen TV. There is a washing machine and cleaning products are provided.

Shops, bars and dining options are in the surrounding streets.

Regular airport buses leave from a bus stop located just 250 metres away."
219,LetsGo Paseo de Gracia,"€ 2,330","2 beds (1 sofa bed, 1 large double)","Apartament Paseo de Gracia offers self-catering accommodation with free Wi-Fi in the heart of Barcelona, just 40 metres from Plaza Catalunya. Barcelona’s La Rambla is 5 minutes’ walk away.

These modern apartments feature stylish dècor and come with 1 or 2 bedrooms and a bathroom with a hairdryer and free toiletries. Their living areas include flat-screen satellite TV and sofas. Their kitchenettes are equipped with a microwave, washing machine and dishwasher.  Some come with a terrace.

Centrally located, you will find many bars, restaurants and supermarkets in the surrounding streets.

Direct buses to Barcelona Airport depart from Plaza Catalunya and Sagrada Familia is 2.5 km from Apartament Paseo de Gracia. A 25-minute walk will take you to Barceloneta Beach."
220,Leonardo Hotel Barcelona Las Ramblas,"€ 1,196",Beds: 1 double or 2 singles,"Leonardo Hotel Barcelona Las Ramblas is situated in the centre of Barcelona’s Old Town, just 200 metres from Las Ramblas. It features a rooftop terrace with a seasonal swimming pool.

The hotel offers simple, attractive décor and rooms are spacious. Each has air conditioning, a flat-screen TV with satellite channels, as well as tea and coffee making facilities.

The Leonardo Hotel Barcelona Las Ramblas serves a daily, buffet breakfast. There are several bars, cafés and restaurants within walking distance of the property.

Guests can make use of computers with internet access, available in the hotel reception area. Staff at the tour desk can provide information on Barcelona’s tourist attractions and arrange car rental.

The hotel is 10 minutes’ walk from Barcelona Cathedral and the city’s Gothic Quarter. The Old Port is around 700 metres from the hotel, whilst Liceu Metro is a 10-minute walk away."
221,Lodging Apartments Liceu G1,"€ 1,970",Managed by a private host,"In the Ciutat Vella district of Barcelona, close to Boqueria Market, Lodging Apartments Liceu G1 features free WiFi and a washing machine. Guests staying at this apartment have access to a balcony. The property is 2.4 km from Sant Sebastian Beach, and within less than 1 km of the city centre.

The air-conditioned apartment consists of 1 bedroom, 2 living rooms, a fully equipped kitchen with an oven and a coffee machine, and 1 bathroom with a shower and a hair dryer. A TV is featured. The accommodation is non-smoking.

Popular points of interest near the apartment include Santa Maria del Mar, Picasso Museum and Cathedral of Barcelona. The nearest airport is Barcelona El Prat Airport, 12 km from Lodging Apartments Liceu G1."
