,Hotels,Prices,Descriptions,Full_Descriptions
258,Luxe calme et volupté avec vue panoramique sur le vieux port,€ 934,Managed by a private host,"In the heart of Marseille, set within a short distance of Plage des Catalans and Fausse Monnaie, Luxe calme et volupté avec vue panoramique sur le vieux port offers free WiFi, air conditioning and household amenities such as an oven and coffee machine. Located on the beachfront, this property features a bar. The property is non-smoking and is situated 2.1 km from Plage de Maldorme.

The apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a patio with sea views. The parquet floors, fireplace and peaceful vibe add to the ambience of the room. Additional in-room amenities include wine or champagne.

There is a coffee shop, and a minimarket is also available.

Guests at the apartment will be able to enjoy activities in and around Marseille, like walking tours and pub crawls.

Popular points of interest near Luxe calme et volupté avec vue panoramique sur le vieux port include Saint-Ferreol Street, Palais du Pharo and Vieux Port Metro station. The nearest airport is Marseille Provence Airport, 23 km from the accommodation."
259,Studio Marseille centre-ville,€ 600,Managed by a private host,"Studio Marseille centre-ville is set in the Euromed - La Joliette district of Marseille, 700 metres from Joliette Metro Station, less than 1 km from Les Terrasses du Port Shopping Centre and a 11-minute walk from Vieux Port Metro station. The property is around 3 km from Castellane Metro Station, 3.2 km from Palais du Pharo and 3.7 km from Notre-Dame de la Garde Basilica. The property is 1.1 km from the city centre and 2.7 km from Plage des Catalans.

With free WiFi, this 1-bedroom apartment offers a flat-screen TV, a washing machine and a fully equipped kitchen with a fridge. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Museum of European and Mediterranean Civilisations, Marseille Saint-Charles Train Station and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 21 km from Studio Marseille centre-ville."
260,"14 THU Happynest, charmant appartement coeur de Marseille",€ 510,Managed by a private host,"14 THU Happynest, charmant appartement coeur de Marseille is located in the Vieux Port - La Canebière district of Marseille, 1.5 km from Joliette Metro Station, less than 1 km from Marseille Saint-Charles Train Station and 1.7 km from Les Terrasses du Port Shopping Centre. It is situated 500 metres from Vieux Port Metro station and provides a lift. The property is 2.3 km from Plage des Catalans, and within 800 metres of the city centre.

With free WiFi, this 1-bedroom apartment features a flat-screen TV, a washing machine and a fully equipped kitchen with a microwave and fridge. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Museum of European and Mediterranean Civilisations, Saint-Ferreol Street and Castellane Metro Station. The nearest airport is Marseille Provence Airport, 22 km from 14 THU Happynest, charmant appartement coeur de Marseille."
261,Gîte Polema,€ 537,Managed by a private host,"Located in the Calanques National Park, Gîte Polema features a private terrace with views over the town and sea. The cottage is 3 km from the Calanques and a 20-minute drive from Marseille Centre.

Surrounded by nature, the cottage has updated furnishings and tile floors. It has a seating area with a satellite flat-screen TV and a private bathroom with a shower.

An oven, dishwasher and coffee maker can be found in the kitchen and BBQ facilities are available. Restaurants and a supermarket can be found a 3-minute drive away.

There is a walking path accessible 20 metres from Gîte Polema. The beach is 4 km away. A bus stop is located 500 metres from the property. Free parking and free Wi-Fi access are available at the property."
262,NOCNOC - Le Liberté,"€ 3,856","9 beds (5 doubles, 4 sofa beds)","NOCNOC - Le Liberté features a balcony and is located in Marseille, within just 1.1 km of Vieux Port Metro station and 300 metres of Marseille Saint-Charles Train Station. The property is situated 1.8 km from Les Terrasses du Port Shopping Centre, 2.6 km from Museum of European and Mediterranean Civilisations and 2.9 km from La Timone Metro Station. Free WiFi is available throughout the property and Plage des Catalans is 2.8 km away.

The spacious apartment is equipped with 4 separate bedrooms, 2 bathrooms, a fully equipped kitchen with a dining area and dishwasher, and a living room. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Saint-Ferreol Street, Castellane Metro Station and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 22 km from NOCNOC - Le Liberté."
263,Cosy T2 proche Vieux-Port - A/C,€ 885,1 double bed,"Cosy T2 proche Vieux-Port - A/C is set in the Le Panier district of Marseille, less than 1 km from Vieux Port Metro station, a 8-minute walk from Joliette Metro Station and 1.2 km from Museum of European and Mediterranean Civilisations. Among the facilities at this property are a 24-hour front desk and a concierge service, along with free WiFi throughout the property. The property is less than 1 km from the city centre and 2.6 km from Plage des Catalans.

The air-conditioned apartment is composed of 1 separate bedroom, a fully equipped kitchen, and 1 bathroom. A flat-screen TV is offered. The accommodation is non-smoking.

Popular points of interest near the apartment include Les Terrasses du Port Shopping Centre, Saint-Ferreol Street and Marseille Saint-Charles Train Station. The nearest airport is Marseille Provence Airport, 21 km from Cosy T2 proche Vieux-Port - A/C."
264,L’appartement - Jardin Secret,"€ 1,142","2 beds (1 single, 1 large double)","Boasting a bar and views of mountain, L’appartement - Jardin Secret is located in Marseille, 5 km from Orange Velodrome Stadium. The property is situated 5 km from Marseille Chanot Exhibition and Convention Centre. Guests can make use of a garden.

At the guest appartment, rooms include a terrace. Every room is equipped with a private bathroom with a shower. All units feature bed linen.

Notre-Dame de la Garde Basilica is 7 km from L’appartement - Jardin Secret, while Saint-Ferreol Street is 7 km away. Marseille Provence Airport is 28 km from the property."
265,NOCNOC - L'Olympe,"€ 4,316","9 beds (5 doubles, 4 sofa beds)","Boasting city views, NOCNOC - L'Olympe features accommodation with a balcony, around 400 metres from Marseille Saint-Charles Train Station. This 1-star apartment offers a lift and free WiFi. The property is non-smoking and is situated 2.8 km from Plage des Catalans.

The air-conditioned apartment consists of 5 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 3 bathrooms with a shower and a hair dryer. Towels and bed linen are available in the apartment. At the apartment, there is a dressing room for guests to change in.

There is a coffee shop on-site.

Popular points of interest near NOCNOC - L'Olympe include Joliette Metro Station, Les Terrasses du Port Shopping Centre and Vieux Port Metro station. The nearest airport is Marseille Provence Airport, 22 km from the accommodation."
266,greet Marseille Centre Saint Charles,"€ 1,161","3 beds (1 double, 2 bunk beds)","Greet Hotel Marseille Centre Saint Charles is located in the centre of Marseille, a 10-minute walk from the Old Port. It offers free Wi-Fi throughout the hotel.

Rooms at Greet Hotel Marseille Centre Saint Charles are equipped with a private bathroom and a TV. Each room is accessible by lift.

There are a number of restaurants in the area. A paid public car park can be found nearby.

Saint-Charles Train Station is 500 metres from the hotel.  Noailles Metro station is just 150 metres away and the historic high street in the old quarter of Marseille, La Canebière, is 300 metres away."
267,Phocea YourHostHelper,"€ 1,200",Managed by a private host,"Set in Marseille, 800 metres from Les Terrasses du Port Shopping Centre and 1 km from Marseille Saint-Charles Train Station, Phocea YourHostHelper offers air conditioning. The property is around 3.2 km from Castellane Metro Station, 3.8 km from Palais du Pharo and 4.3 km from La Timone Metro Station. Free WiFi is available throughout the property and Joliette Metro Station is 500 metres away.

The spacious apartment is fitted with 3 bedrooms, a flat-screen TV and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a fridge. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Vieux Port Metro station, Museum of European and Mediterranean Civilisations and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 21 km from Phocea YourHostHelper."
268,Le Petit Nice - Passedat,"€ 6,925",1 extra-large double bed,"Featuring a 3-star Michelin restaurant with sea views, Le Petit Nice - Passedat is a luxury hotel located 3 km from Marseille city centre. It features a bar, a terrace and an outdoor seawater swimming pool.

Each room and suite is air-conditioned and features chic décor, sea views, a private bathroom and a TV. They have a free minibar.

Guests can enjoy the proximity of the sandy beaches, 2 km away.

For your convenience, the hotel has a 24-hour reception and free Wi-Fi throughout the hotel. Private parking is available on site. A charging point for electric cars is available at this property."
269,Auberge de Jeunesse HI Marseille Bois-Luzy,€ 742,4 single beds,"Situated in Marseille, 4.9 km from La Timone Metro Station, Auberge de Jeunesse HI Marseille Bois-Luzy features accommodation with a garden, private parking, a shared lounge and a terrace. Located around 5.9 km from Vieux Port Metro station, the hostel with free WiFi is also 6.1 km away from Marseille Saint-Charles Train Station. The accommodation provides a shared kitchen, a 24-hour front desk and luggage storage for guests.

The shared bathroom is fitted with a shower and a hairdryer.

Buffet and continental breakfast options are available each morning at the hostel.

Saint-Ferreol Street is 6.5 km from Auberge de Jeunesse HI Marseille Bois-Luzy, while Joliette Metro Station is 6.6 km from the property. The nearest airport is Marseille Provence Airport, 26 km from the accommodation."
270,La Baraka - Beau studio dans parc arboré,€ 820,1 large double bed,"La Baraka - Beau studio dans parc arboré, a property with a terrace, is situated in Marseille, 2.6 km from Bonneveine, 2.9 km from Borely, as well as 2.8 km from Orange Velodrome Stadium. This property offers access to a balcony and free private parking. The property is non-smoking and is set 2.6 km from Plage de la Vieille Chapelle.

With free WiFi, this apartment offers a TV, a washing machine and a fully equipped kitchen with a dishwasher and oven. Towels and bed linen are featured in the apartment.

Rond-Point du Prado Metro Station is 3 km from the apartment, while Marseille Chanot Exhibition and Convention Centre is 3.4 km away. The nearest airport is Marseille Provence Airport, 29 km from La Baraka - Beau studio dans parc arboré."
271,Appartement Standing Marseille 4 pers Clim Parking,"€ 5,544",Managed by a private host,"Set within the Castellane et Préfecture district in Marseille, Appartement Standing Marseille 4 pers Clim Parking has air conditioning, a balcony, and garden views. It is located 2.6 km from Prophete and provides a lift. The apartment also offers free WiFi, free private parking and facilities for disabled guests.

The spacious apartment with a terrace and mountain views has 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Guests can take in the ambience of the surroundings from an outdoor dining area. The accommodation is non-smoking.

Popular points of interest near the apartment include Castellane Metro Station, Saint-Ferreol Street and Notre-Dame de la Garde Basilica. The nearest airport is Marseille Provence Airport, 24 km from Appartement Standing Marseille 4 pers Clim Parking."
272,Petit nid plein soleil avec terrasse,€ 577,Managed by a private host,"Boasting inner courtyard views, Petit nid plein soleil avec terrasse features accommodation with a terrace, around 2.4 km from Joliette Metro Station. The property has quiet street views and is 2.6 km from Les Terrasses du Port Shopping Centre and 1.4 km from Vieux Port Metro station. Free WiFi is available throughout the property and Marseille Saint-Charles Train Station is 700 metres away.

The apartment includes 1 bedroom, a fully equipped kitchen with an oven and a microwave, as well as a coffee machine. Towels and bed linen are available in the apartment. The accommodation is non-smoking.

La Timone Metro Station is 2.9 km from the apartment, while Saint-Ferreol Street is 1.5 km from the property. The nearest airport is Marseille Provence Airport, 28 km from Petit nid plein soleil avec terrasse."
273,Maisonnette OCELIA 2 personnes Port de la Madrague,€ 788,Managed by a private host,"A recently renovated property, Maisonnette OCELIA 2 personnes Port de la Madrague is located in Marseille near Plage de l'Anse des Sablettes, Plage de la Pointe Rouge. The property features inner courtyard views and is 2.7 km from Plage de la Vieille Chapelle and 5.8 km from Orange Velodrome Stadium. Free WiFi is available throughout the property and Plage de la Bonne Brise is 600 metres away.

This holiday home is equipped with 1 bedroom, a kitchen with a microwave and a toaster, a flat-screen TV, a seating area and 1 bathroom. Towels and bed linen are provided in the holiday home. For added privacy, the accommodation has a private entrance and soundproofing.

Rond-Point du Prado Metro Station is 6 km from the holiday home, while Marseille Chanot Exhibition and Convention Centre is 6.1 km away. The nearest airport is Marseille Provence Airport, 31 km from Maisonnette OCELIA 2 personnes Port de la Madrague."
274,Les chambres de la releve,"€ 1,109",1 large double bed,"Located in Marseille, 1.5 km from Plage des Catalans and 600 metres from the centre, Les chambres de la releve provides air-conditioned accommodation with free WiFi, and a private beach area. Featuring private check-in and check-out, this property also provides guests with a terrace. The accommodation features a 24-hour front desk and a housekeeping service for guests.

At the bed and breakfast, every unit includes a wardrobe. The units include a private bathroom, free toiletries and bed linen.

Available daily, the breakfast at the property includes continental dishes along with a selection of fresh pastries and juice. A restaurant, coffee shop and bar can be found on-site.

Popular points of interest near the bed and breakfast include Fausse Monnaie, Plage de Maldorme and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 23 km from Les chambres de la releve."
275,Le Ballard - Appart 1 ch clim proche Vieux-Port,"€ 1,413",Managed by a private host,"In the Vieux Port - La Canebière district of Marseille, close to Vieux Port Metro station, Le Ballard - Appart 1 ch clim proche Vieux-Port features free WiFi and a washing machine. The property has city views and is 2.8 km from Fausse Monnaie and 600 metres from Saint-Ferreol Street. The property is 1.7 km from Plage des Catalans, and within 300 metres of the city centre.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a shower and a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Dining options are available close to the apartment.

Popular points of interest near Le Ballard - Appart 1 ch clim proche Vieux-Port include Castellane Metro Station, Museum of European and Mediterranean Civilisations and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 22 km from the accommodation."
276,ibis Marseille Centre Gare Saint Charles,€ 652,1 double bed,"ibis Marseille Gare Saint Charles is 1.6 km from the Vieux Port and Joliette district. The hotel offers a bar with a terrace equipped with a boules court and free boules. Free WiFi access and a 24-hour reception are also available.

The air-conditioned rooms are equipped with a wardrobe, a desk and have a flat-screen TV with cable channels. The private bathroom has a shower, a hairdryer and free toiletries.

A buffet breakfast composed of sweet and savoury dishes such as eggs, fruit salad, yogurts and juices is served every day. Pastries baked on site and fresh French Madeleine cakes are also on offer, as well as a hot beverage and a piece of fruit to take away. Outside of regular breakfast hours guests can also enjoy a lighter option, available from 04:00. Guests can buy transportation tickets and city passes for several attractions on site.

Meeting rooms are available at the property. The hotel is less than 50 metres from the Marseille Saint Charles Train Station and the Saint Charles Metro Stop with access to lines 1 and 2. It is 25 km from Marseille-Marignane Airport. Notre-Dame de la Garde basilica is 3 km away"
277,Joli T2 vintage Timone,€ 505,Managed by a private host,"Situated in Marseille, less than 1 km from La Timone Metro Station and 2.5 km from Castellane Metro Station, Joli T2 vintage Timone features air-conditioned accommodation with a balcony and free WiFi. The property has garden and inner courtyard views, and is 3.7 km from Rond-Point du Prado Metro Station. The property is non-smoking and is set 3.5 km from Marseille Chanot Exhibition and Convention Centre.

This apartment features 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. For added privacy, the accommodation features a private entrance.

Saint-Ferreol Street is 3.7 km from the apartment, while Orange Velodrome Stadium is 3.8 km from the property. The nearest airport is Marseille Provence Airport, 25 km from Joli T2 vintage Timone."
278,La Maison du Parc I Standing Parking Clim Wifi Vélodrome JO24- MaisonMars,"€ 1,952",Managed by a private host,"Featuring air-conditioned accommodation with a patio, La Maison du Parc I Standing Parking Clim Wifi Vélodrome JO24- MaisonMars is set in Marseille. This property offers access to a balcony, free private parking and free WiFi. The property is non-smoking and is situated 1.4 km from Castellane Metro Station.

The spacious holiday home with a terrace and garden views features 3 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 3 bathrooms with a shower. Towels and bed linen are featured in the holiday home. For added privacy, the accommodation has a private entrance and soundproofing.

Guests at the holiday home will be able to enjoy activities in and around Marseille, like walking tours and bike tours. Outdoor play equipment is also available at La Maison du Parc I Standing Parking Clim Wifi Vélodrome JO24- MaisonMars, while guests can also relax in the garden.

Popular points of interest near the accommodation include La Timone Metro Station, Marseille Chanot Exhibition and Convention Centre and Rond-Point du Prado Metro Station. The nearest airport is Marseille Provence Airport, 25 km from La Maison du Parc I Standing Parking Clim Wifi Vélodrome JO24- MaisonMars."
279,Welkeys Apartment - Sainte,"€ 1,125","3 beds (2 singles, 1 sofa bed)","In the Vieux Port - La Canebière district of Marseille, close to Saint-Ferreol Street, Welkeys Apartment - Sainte features free WiFi and a washing machine. The accommodation is an 11-minute walk from the Notre-Dame de la Garde Basilica.

The apartment features a TV. The kitchen has an oven and a microwave, as well as coffee machine.

Museum of European and Mediterranean Civilisations is 1.1 km from the apartment, while Palais du Pharo is 1.2 km away. The nearest airport is Marseille Provence Airport, 21 km from the property."
280,"Superb loft featuring garden, sauna and private pool","€ 1,157",Managed by a private host,"Superb loft featuring garden, sauna and private pool offers accommodation set 1.1 km from the centre of Marseille and provides a seasonal outdoor swimming pool and a garden. The property is located 2.8 km from Plage des Catalans, 1.6 km from Castellane Metro Station and 2.7 km from Museum of European and Mediterranean Civilisations. Offering free WiFi throughout the property, the non-smoking holiday home has a sauna.

The holiday home with a patio and pool views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bath. Guests can enjoy a meal on an outdoor dining area while overlooking the garden views. For added privacy, the accommodation features a private entrance.

Popular points of interest near the holiday home include Vieux Port Metro station, Marseille Saint-Charles Train Station and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 23 km from Superb loft featuring garden, sauna and private pool."
281,Hyper Centre Vieux Port - Loft - Les Frères de la Loc',€ 745,Managed by a private host,"Located in the centre of Marseille, Hyper Centre Vieux Port - Loft - Les Frères de la Loc' provides accommodation with free WiFi in a historic building. The property features city views and is 2.7 km from Fausse Monnaie and 400 metres from Vieux Port Metro station. The property is non-smoking and is situated 1.6 km from Plage des Catalans.

The apartment comes with 1 bedroom, a fully equipped kitchen with a fridge and kitchenware, and 1 bathroom with a shower, free toiletries and a washing machine. At the apartment, there is a dressing room for guests to change in.

Popular points of interest near Hyper Centre Vieux Port - Loft - Les Frères de la Loc' include Saint-Ferreol Street, Castellane Metro Station and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 22 km from the accommodation."
282,Vauban - Appartement pour 2 au coeur de Marseille,€ 741,1 double bed,"Featuring city views, Vauban - Appartement pour 2 au coeur de Marseille provides accommodation with a balcony, around 2.3 km from Fausse Monnaie. The property is located 2.5 km from Prophete, 1.1 km from Vieux Port Metro station and 1.5 km from Castellane Metro Station. Free WiFi is available throughout the property and Plage des Catalans is 1.9 km away.

The air-conditioned apartment is composed of 1 separate bedroom, a fully equipped kitchen with an oven and a microwave, and 1 bathroom. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Notre-Dame de la Garde Basilica, Saint-Ferreol Street and Palais du Pharo. The nearest airport is Marseille Provence Airport, 24 km from Vauban - Appartement pour 2 au coeur de Marseille."
283,LaFrenchCasa Liberté,€ 692,Managed by a private host,"In the Saint-Charles district of Marseille, close to Marseille Saint-Charles Train Station, LaFrenchCasa Liberté features free WiFi and a washing machine. This apartment provides accommodation with a balcony. Castellane Metro Station is 2.2 km from the apartment and Vieux Port Metro station is 1.3 km away.

Each unit is fitted with air conditioning, a private bathroom and a well-fitted kitchen including an oven, microwave, toaster and a fridge.

Popular points of interest near the apartment include Joliette Metro Station, Les Terrasses du Port Shopping Centre and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 22 km from LaFrenchCasa Liberté."
284,5 Sens,€ 637,1 double bed,"Set in Marseille, near Vieux Port Metro station, Saint-Ferreol Street and Castellane Metro Station, 5 Sens features free WiFi. This property is located a short distance from attractions such as Palais du Pharo, Notre-Dame de la Garde Basilica, and Marseille Saint-Charles Train Station. The property is 1.7 km from Plage des Catalans, and within 200 metres of the city centre.

This apartment includes 1 bedroom, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 1 bathroom with a shower and a washing machine. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Museum of European and Mediterranean Civilisations, Joliette Metro Station and Les Terrasses du Port Shopping Centre. The nearest airport is Marseille Provence Airport, 22 km from 5 Sens."
285,Chez Nous - 7 Appartements sur le Vieux Port,€ 814,"2 beds (1 sofa bed, 1 large double)","In the Vieux Port - La Canebière district of Marseille, close to Vieux Port Metro station, Chez Nous - 7 Appartements sur le Vieux Port features free WiFi and a washing machine. The property is around 2.3 km from Fausse Monnaie, 2.4 km from Plage de Maldorme and 2.1 km from Castellane Metro Station. The property is 500 metres from the city centre and 1.1 km from Plage des Catalans.

Accommodation is fitted with air conditioning, a fully equipped kitchen with a dining area, a flat-screen TV and a private bathroom with shower and a hair dryer. A fridge is also featured, as well as a coffee machine and a kettle. At the apartment complex, all units include bed linen and towels.

Popular points of interest near the apartment include Palais du Pharo, Saint-Ferreol Street and Notre-Dame de la Garde Basilica. The nearest airport is Marseille Provence Airport, 23 km from Chez Nous - 7 Appartements sur le Vieux Port."
286,Honoré - Rooftop- Centre Vieux Port,"€ 1,512",Managed by a private host,"Offering free WiFi and city views, Honoré - Rooftop- Centre Vieux Port is an accommodation set in the heart of Marseille, just 1.7 km from Plage des Catalans and 500 metres from Vieux Port Metro station. Boasting a concierge service, this property also provides guests with a sun terrace. The property is non-smoking and is located 2.5 km from Fausse Monnaie.

This air-conditioned apartment is fitted with 2 bedrooms, a fully equipped kitchen, a dining area and a flat-screen TV.

Popular points of interest near the apartment include Saint-Ferreol Street, Palais du Pharo and Castellane Metro Station. The nearest airport is Marseille Provence Airport, 22 km from Honoré - Rooftop- Centre Vieux Port."
287,La Flibuste,"€ 1,809",Managed by a private host,"Set in Marseille, 8.6 km from Orange Velodrome Stadium and 8.8 km from Rond-Point du Prado Metro Station, La Flibuste offers air-conditioned accommodation with a balcony and free WiFi. With garden views, this accommodation provides a patio. Marseille Chanot Exhibition and Convention Centre is 8.8 km away and Castellane Metro Station is 10 km from the holiday home.

The holiday home is fitted with 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a terrace with sea views. Guests can enjoy an ambient stay in their soundproof room with parquet floors and a fireplace. The property has an outdoor dining area.

Guests at the holiday home can enjoy hiking nearby, or make the most of the garden.

Notre-Dame de la Garde Basilica is 11 km from La Flibuste, while La Timone Metro Station is 11 km from the property. The nearest airport is Marseille Provence Airport, 34 km from the accommodation."
288,STUDIO VIEUX-PORT VUE BASILIQUE NOTRE-DAME,€ 807,Managed by a private host,"Situated in the centre of Marseille, within 2.3 km of Plage des Catalans and 600 metres of Museum of European and Mediterranean Civilisations, STUDIO VIEUX-PORT VUE BASILIQUE NOTRE-DAME is an accommodation offering city views. The property is located 1.6 km from Saint-Ferreol Street, 1.8 km from Marseille Saint-Charles Train Station and 2.8 km from Castellane Metro Station. The property features a 24-hour front desk and free WiFi is available throughout the property.

This apartment includes 1 bedroom, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 1 bathroom with a shower and a washing machine. The accommodation is non-smoking.

Popular points of interest near the apartment include Joliette Metro Station, Vieux Port Metro station and Les Terrasses du Port Shopping Centre. The nearest airport is Marseille Provence Airport, 21 km from STUDIO VIEUX-PORT VUE BASILIQUE NOTRE-DAME."
289,Ô51,€ 773,Managed by a private host,"Offering sea views and views over La Major Cathedral, Ô51 is set in Marseille in the heart of the Panier district, 100 metres from Vieille Charité Museum and 450 metres from MuCEM Museum. Velodrome Stadium is 3.9 km away.

Featuring a terrace with a barbecue, the unit has a seating area with a flat-screen TV. The kitchen is fitted with a dishwasher, an oven and a washing machine. A microwave and toaster are also available, as well as a coffee machine.

La Major Cathedral is 100 metres from the property. The nearest airport is Marseille Provence Airport, 20 km from the property. Private parking is available a 2-minute walk away, at a supplement."
290,Palmeraie II - Magnifique au Coeur de Marseille,"€ 1,058",Managed by a private host,"In the Vieux Port - La Canebière district of Marseille, close to Saint-Ferreol Street, Palmeraie II - Magnifique au Coeur de Marseille features free WiFi and a washing machine. The property has city views and is 1.2 km from Castellane Metro Station and 400 metres from Vieux Port Metro station. The property is 500 metres from the city centre and 2 km from Plage des Catalans.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a shower and free toiletries. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Marseille Saint-Charles Train Station, Museum of European and Mediterranean Civilisations and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 23 km from Palmeraie II - Magnifique au Coeur de Marseille."
291,Le Vauban - Hauteur de Marseille proche de NDG,€ 495,Managed by a private host,"Offering city views, Le Vauban - Hauteur de Marseille proche de NDG is an accommodation situated in Marseille, 2.5 km from Fausse Monnaie and 2.9 km from Plage des Catalans. The property is around 1.7 km from Vieux Port Metro station, 2.6 km from Rond-Point du Prado Metro Station and 2.7 km from Marseille Chanot Exhibition and Convention Centre. Free WiFi is available throughout the property and Prophete is 2.1 km away.

The apartment has 1 bedroom, a fully equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a hair dryer and free toiletries. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Popular points of interest near Le Vauban - Hauteur de Marseille proche de NDG include Notre-Dame de la Garde Basilica, Castellane Metro Station and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 24 km from the accommodation."
292,Hôtel Saint Louis - Vieux Port,€ 962,1 double bed,"Hôtel Saint Louis - Vieux Port was fully renovated in 2019 and is located in central Marseille, 400 metres from the Old Port. Set in a semi-pedestrian street in the district of Noailles, the Hôtel Saint Louis - Vieux Port has a 24-hour reception and free WiFi access.

It offers air-conditioned and soundproofed guest rooms with a flat-screen TV, work desk and telephone. Every room has a private bathroom with hairdryer and free toiletries. The front rooms feature a balcony overlooking the Cours Saint-Louis and the ones located in the back of the hotel offer views of courtyards and roof tops.

Guests can enjoy a daily continental breakfast in the hotel restaurant ""Le Petit Saint Louis"", which is also open for lunches and dinners. There is also a bar.

Guests can visit Opéra de Marseille and La Canebière, located within 500 metres of the property."
293,Marseille Désirée - Centre - La Joliette - gare TGV,€ 800,Managed by a private host,"Located in Marseille, less than 1 km from Les Terrasses du Port Shopping Centre and a 13-minute walk from Marseille Saint-Charles Train Station, Marseille Désirée - Centre - La Joliette - gare TGV offers air conditioning. The property is situated 2 km from Museum of European and Mediterranean Civilisations, 1.6 km from Vieux Port Metro station and 3.8 km from Saint-Ferreol Street. Free WiFi is available throughout the property and Joliette Metro Station is 500 metres away.

The 1-bedroom apartment is equipped with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Castellane Metro Station is 3.8 km from the apartment, while Palais du Pharo is 4 km away. The nearest airport is Marseille Provence Airport, 21 km from Marseille Désirée - Centre - La Joliette - gare TGV."
294,"Building la canebière ,vieux port","€ 1,263",Managed by a private host,"Located in the centre of Marseille, 2.4 km from Plage des Catalans, Building la canebière, vieux port provides air-conditioned accommodation with free WiFi and a flat-screen TV. This property is situated a short distance from attractions such as Museum of European and Mediterranean Civilisations, Joliette Metro Station, and Les Terrasses du Port Shopping Centre. The property is non-smoking and is set 600 metres from Vieux Port Metro station.

The apartment is composed of 1 bedroom, a fully equipped kitchen, and 1 bathroom.

Popular points of interest near the apartment include Saint-Ferreol Street, Castellane Metro Station and Marseille Saint-Charles Train Station. The nearest airport is Marseille Provence Airport, 22 km from Building la canebière, vieux port."
295,Magnifique nid douillet au coeur du Panier SooHome,€ 762,"2 beds (1 double, 1 sofa bed)","Magnifique nid douillet au coeur du Panier SooHome in Marseille offers accommodation with free WiFi, less than 1 km from Joliette Metro Station, a 13-minute walk from Les Terrasses du Port Shopping Centre and 700 metres from Museum of European and Mediterranean Civilisations. The property is set 3.4 km from Palais du Pharo, 4 km from Castellane Metro Station and 4.2 km from Notre-Dame de la Garde Basilica. The property is 2.2 km from Plage des Catalans, and within less than 1 km of the city centre.

This apartment includes 1 bedroom, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 1 bathroom with a walk-in shower and a washing machine. Towels and bed linen are featured in the apartment. For added privacy, the accommodation has a private entrance and soundproofing.

Popular points of interest near the apartment include Vieux Port Metro station, Marseille Saint-Charles Train Station and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 21 km from Magnifique nid douillet au coeur du Panier SooHome."
